Предмет,Комната,Ссылка,Стоимость,Количество,Цена,Вес,Вес в нужном количестве,Итого сумма,241695,Вес всего,"558,3"
Кресло,Гостиная,https://www.ikea.com/ru/ru/p/vedbo-vedbu-kreslo-c-vysokoy-spinkoy-gunnared-temno-seryy-30424130/,16999,1,16999,"19,9","19,9",,,,
Холодильник,Кухня,https://www.ikea.com/ru/ru/p/pakalla-pokella-holodilnik-morozilnik-ikea-300-otdelno-stoyashchiy-belyy-40494844/,29999,1,29999,68,68,,,,
Модeльная кухня,Кухня,https://www.ikea.com/ru/ru/p/knoxhult-knokshult-kuhnya-belyy-s99400570/,19489,1,19489,"1,18","1,18",,,,
Диван-кровать,Спальня,https://www.ikea.com/ru/ru/p/gimmarp-gimmarp-3-mestnyy-divan-krovat-rudorna-korichnevyy-10447298/,18999,1,18999,97,97,,,,
Стиральная машина,Ванная,https://www.ikea.com/ru/ru/p/staellbar-stellbar-stiralnaya-mashina-belyy-90382212/,17999,1,17999,56,56,,,,
Варочная панель,Кухня,https://www.ikea.com/ru/ru/p/matmaessig-matmessig-varochn-panel-steklokeramika-chernyy-20368827/,14 999,1,14999,9,9,,,,
Комплект мебели для ванной,Ванная,https://www.ikea.com/ru/ru/p/fiskan-fiskon-tvaellen-tvellen-komplekt-mebeli-dlya-vannoy-6-predm-glyancevyy-belyy-pilkon-smesitel-s09436026/,14 348,1,14348,"41,76","41,76",,,,
Рабочий стул,Гостиная,https://www.ikea.com/ru/ru/p/hattefjaell-hattefell-rabochiy-stul-gunnared-bezhevyy-90364468/,13999,1,13999,20,20,,,,
Духовка,Кухня,https://www.ikea.com/ru/ru/p/lagan-lagan-duhovka-belyy-30416922/,9 999,1,9999,26,26,,,,
Шкаф,Гостиная,https://www.ikea.com/ru/ru/p/brimnes-brimnes-shkaf-platyanoy-3-dvernyy-belyy-90407929/,9999,1,9999,79,79,,,,
Письменный стол,Гостиная,https://www.ikea.com/ru/ru/p/alex-aleks-pismennyy-stol-belyy-10473560/,7999,1,7999,24,24,,,,
